ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,ABASOLO,2,4,4,200,38,7,103,150,951,443,26,0,41,5,4,6,2,0,0,2,1978,0,66,2044,2596,
19,NUEVO LEON,2,AGUALEGUAS,9,10,10,1373,37,5,30,11,1548,114,3,1,1,1,0,16,19,1,1,0,3161,0,124,3285,4583,
19,NUEVO LEON,3,LOS ALDAMAS,5,5,5,432,135,4,23,7,549,97,5,0,0,0,0,21,40,2,0,4,1319,1,68,1388,2195,
19,NUEVO LEON,4,ALLENDE,19,51,52,7336,1290,69,386,280,3733,2267,36,35,240,28,15,155,70,7,1,64,16012,11,596,16619,31213,
19,NUEVO LEON,5,ANAHUAC,14,29,31,2735,2420,61,115,78,2855,890,12,5,3,5,3,231,229,9,9,11,9671,0,382,10053,14692,
19,NUEVO LEON,6,APODACA,313,814,826,31723,78734,1918,7632,6124,59817,64478,3924,1472,1514,617,682,5024,1001,54,111,0,264825,92,8415,273332,484188,
19,NUEVO LEON,7,ARAMBERRI,17,28,28,105,3706,15,95,69,4944,654,20,33,87,12,3,19,17,1,2,13,9795,0,616,10411,12641,
19,NUEVO LEON,8,BUSTAMANTE,4,5,5,1162,98,8,91,55,1121,214,4,0,4,3,1,23,14,0,0,1,2799,2,74,2875,3529,
19,NUEVO LEON,9,CADEREYTA JIMENEZ,61,156,157,8905,1787,254,2843,1280,14195,11278,478,1223,188,102,82,321,119,17,2,265,43339,10,2034,45383,93702,
19,NUEVO LEON,10,CARMEN,4,68,70,643,381,171,2817,983,8081,4439,469,0,609,61,218,53,25,3,1,341,19295,11,770,20076,48787,
19,NUEVO LEON,11,CERRALVO,6,13,13,1176,68,10,28,25,2590,225,7,0,2,3,3,22,11,3,2,7,4182,0,223,4405,7562,
19,NUEVO LEON,12,CIENEGA DE FLORES,20,79,80,3542,417,88,5084,516,6005,4456,454,57,150,27,27,78,37,13,1,300,21252,4,774,22030,50128,
19,NUEVO LEON,13,CHINA,11,19,19,453,237,15,3683,62,2096,343,16,0,5,3,5,18,2,0,0,50,6988,2,221,7211,10567,
19,NUEVO LEON,14,DR. ARROYO,37,56,56,213,10861,26,296,384,1618,7480,37,143,15,52,8,93,80,2,3,61,21372,2,1051,22425,30230,
19,NUEVO LEON,15,DR. COSS,5,6,6,166,82,5,493,135,791,94,11,0,0,0,0,2,1,0,0,0,1780,0,105,1885,2900,
19,NUEVO LEON,16,DR. GONZALEZ,4,7,7,158,621,9,71,61,988,312,9,0,11,3,0,9,8,0,1,2,2263,1,86,2350,3331,
19,NUEVO LEON,17,GALEANA,37,64,64,242,9018,74,500,227,7049,1815,206,32,24,27,12,157,103,11,12,29,19538,0,1464,21002,30786,
19,NUEVO LEON,18,GARCIA,144,408,412,9809,4409,483,17686,3332,28565,40506,3828,756,3322,442,202,564,137,9,6,0,114056,41,3365,117462,247937,
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,186,189,51042,5076,372,1319,1065,10184,6233,1093,143,317,94,100,1112,370,23,10,0,78553,24,1402,79979,112772,
19,NUEVO LEON,20,GRAL. BRAVO,6,12,12,1660,472,6,114,887,658,352,23,0,1,6,1,5,10,0,0,11,4206,0,174,4380,6497,
19,NUEVO LEON,21,GRAL. ESCOBEDO,170,552,559,23741,10609,828,7238,9860,47432,51021,3787,981,1322,508,1142,1480,452,35,43,1567,162046,93,6741,168880,345360,
19,NUEVO LEON,22,GRAL. TERAN,15,25,25,279,1975,23,155,152,3961,952,31,0,10,17,5,52,61,1,3,7,7684,0,427,8111,13935,
19,NUEVO LEON,23,GRAL. TREVIÑO,2,4,4,538,16,3,7,6,582,58,1,0,0,0,1,8,4,1,0,1,1226,0,40,1266,2134,
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,10,11,69,437,9,43,40,1463,236,3,1524,12,6,2,6,5,0,0,0,3855,0,267,4122,5132,
19,NUEVO LEON,25,GRAL. ZUAZUA,45,104,105,3265,740,119,1052,737,7372,9320,995,282,88,247,72,194,39,6,3,161,24692,7,1007,25706,58333,
19,NUEVO LEON,26,GUADALUPE,310,896,904,51263,30597,1403,12099,7485,97514,83246,9373,1372,2175,827,1610,3369,1088,49,50,2674,306194,226,11838,318258,553201,
19,NUEVO LEON,27,LOS HERRERAS,6,6,6,243,381,3,200,17,970,142,22,0,3,0,2,35,19,0,0,9,2046,0,107,2153,3073,
19,NUEVO LEON,28,HIDALGO,9,22,23,709,177,30,581,1589,3228,1823,280,0,156,31,20,9,7,0,0,20,8660,0,267,8927,13314,
19,NUEVO LEON,29,HIGUERAS,2,3,3,681,25,16,25,16,199,100,1,101,1,1,0,9,5,1,0,0,1181,1,36,1218,1541,
19,NUEVO LEON,30,HUALAHUISES,8,13,13,197,1809,10,55,46,1746,351,18,9,3,3,2,45,22,0,0,8,4324,0,156,4480,6568,
19,NUEVO LEON,31,ITURBIDE,4,7,7,75,90,15,65,47,1487,741,12,4,30,6,8,9,3,0,1,8,2601,0,149,2750,3299,
19,NUEVO LEON,32,JUAREZ,171,498,501,4866,26361,590,4186,4190,54450,36147,2182,1049,927,344,258,1239,297,15,57,915,138073,51,4804,142928,302856,
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,4,9,9,2206,31,16,53,17,942,104,8,1,1,0,1,23,20,4,0,2,3429,0,121,3550,5240,
19,NUEVO LEON,34,LINARES,47,119,122,8088,2066,144,1280,846,6045,11847,311,241,61,72,44,332,277,9,2,477,32142,2,1499,33643,68797,
19,NUEVO LEON,35,MARIN,3,10,10,382,100,9,872,76,1683,319,13,0,11,5,2,10,1,0,0,25,3508,2,172,3682,5319,
19,NUEVO LEON,36,MELCHOR OCAMPO,2,4,4,220,45,3,19,385,547,97,7,0,5,10,3,7,2,1,0,0,1351,0,111,1462,2087,
19,NUEVO LEON,37,MIER Y NORIEGA,9,14,14,1185,113,4,1268,39,1276,390,3,16,12,2,0,8,20,0,0,320,4656,0,180,4836,6927,
19,NUEVO LEON,38,MINA,7,11,11,169,140,25,122,84,2392,355,32,0,45,54,9,8,3,0,0,10,3448,0,141,3589,5093,
19,NUEVO LEON,39,MONTEMORELOS,42,99,101,2075,6853,185,1001,1447,6592,6495,147,684,186,69,40,368,119,6,11,153,26431,4,1299,27734,57739,
19,NUEVO LEON,40,MONTERREY,734,1642,1660,135220,98454,3635,17202,22839,137334,90007,24666,4891,4138,1268,1760,10064,3124,162,159,401,555324,218,20220,575762,963363,
19,NUEVO LEON,41,PARAS,3,4,4,1037,16,3,9,10,610,59,7,1,0,0,2,1,2,0,0,0,1757,0,27,1784,2195,
19,NUEVO LEON,42,PESQUERIA,46,145,146,9014,758,150,1332,880,13066,10473,249,0,213,135,62,154,71,10,3,181,36751,23,1446,38220,91887,
19,NUEVO LEON,43,LOS RAMONES,12,14,15,1039,107,13,251,517,629,224,220,0,13,84,1,11,8,0,0,5,3122,0,147,3269,5937,
19,NUEVO LEON,44,RAYONES,5,6,6,1510,93,3,29,28,438,195,7,8,1,0,1,12,22,0,0,1,2348,0,113,2461,3040,
19,NUEVO LEON,45,SABINAS HIDALGO,24,54,55,5867,425,51,1243,892,7140,1324,46,77,14,11,9,158,62,7,0,63,17389,1,648,18038,30772,
19,NUEVO LEON,46,SALINAS VICTORIA,27,99,100,2257,719,120,747,541,12023,4692,458,0,119,56,44,86,36,6,1,113,22018,11,1015,23044,60909,
19,NUEVO LEON,47,SAN NICOLAS DE LOS GARZA,242,597,601,78365,12474,935,5912,4749,65811,43044,3510,994,1048,514,525,2361,704,50,28,0,221024,53,7498,228575,360374,
19,NUEVO LEON,48,SANTA CATARINA,107,365,368,40507,5039,619,3574,2823,44175,25585,1508,439,753,716,234,1428,479,57,17,390,128343,43,4675,133061,235982,
19,NUEVO LEON,49,SANTIAGO,25,75,78,4131,9956,122,402,528,6922,3059,107,46,101,44,20,518,225,10,16,88,26295,4,765,27064,44320,
19,NUEVO LEON,50,VALLECILLO,6,6,6,150,237,6,15,722,203,37,2,1,0,1,0,11,8,0,1,1,1395,0,48,1443,2445,
19,NUEVO LEON,51,VILLALDAMA,5,7,7,134,58,6,673,21,1650,234,15,0,5,4,1,1,1,0,1,6,2810,0,95,2905,3841,
