ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,48,63,63,375,1127,225,1101,783,4154,5070,2764,0,0,498,147,66,11,2,3,105,190,7,14,9,45,82,4,56,0,8,16846,0,679,17525,27824,
18,NAYARIT,2,AHUACATLAN,17,26,26,550,351,35,511,464,2291,2555,402,0,0,40,81,67,23,1,1,74,115,8,7,9,18,22,4,26,2,7,7664,2,315,7981,12879,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,25,25,515,198,108,1102,374,1226,1046,454,0,0,1102,65,39,11,3,2,26,29,0,7,0,7,23,1,10,1,2,6351,3,367,6721,10068,
18,NAYARIT,4,BAHIA DE BANDERAS,56,214,215,13549,2327,971,3153,2161,3603,27218,3249,241,415,459,490,947,266,80,15,752,1128,41,77,62,124,305,27,333,12,59,62064,72,2328,64464,139756,
18,NAYARIT,5,COMPOSTELA,73,123,126,2230,1526,374,2441,1161,5074,12859,1056,0,0,920,306,287,60,12,12,287,615,46,40,46,73,248,10,143,8,26,29860,3,1374,31237,63932,
18,NAYARIT,6,HUAJICORI,19,24,24,36,337,31,457,244,1582,2444,96,0,0,32,183,8,2,1,1,111,44,11,12,22,15,27,4,21,2,12,5735,0,191,5926,8752,
18,NAYARIT,7,IXTLAN DEL RIO,24,43,44,2644,454,78,509,2002,962,3857,1785,0,0,195,87,139,37,8,2,200,270,12,12,28,68,42,4,115,5,7,13522,12,521,14055,23432,
18,NAYARIT,8,JALA,18,30,30,2702,510,92,1280,335,578,2977,283,0,0,90,94,136,60,10,2,120,104,3,5,6,20,49,2,31,4,5,9498,9,593,10100,14745,
18,NAYARIT,9,DEL NAYAR,26,62,62,860,3069,110,3798,803,4281,2714,330,0,0,567,106,218,49,78,10,7,27,0,7,2,15,28,2,9,1,6,17097,68,1116,18281,30831,
18,NAYARIT,10,ROSAMORADA,43,60,60,927,3172,509,675,1738,2636,5015,560,0,0,537,103,182,36,7,8,105,126,10,6,8,33,37,4,52,10,3,16499,1,849,17349,27113,
18,NAYARIT,11,RUIZ,27,42,42,659,536,134,691,261,1436,3688,2836,0,0,260,133,51,10,11,5,55,93,3,6,5,26,37,2,27,0,3,10968,3,693,11664,18935,
18,NAYARIT,12,SAN BLAS,47,68,70,3991,849,170,1002,531,2042,5729,3501,0,0,47,193,257,84,23,10,145,257,13,19,21,43,104,8,73,6,19,19137,8,946,20091,32010,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,18,458,326,25,261,176,241,1506,225,0,0,671,60,64,16,3,1,15,73,4,8,1,18,28,2,10,2,1,4195,0,263,4458,7119,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,39,39,562,577,371,1343,770,827,4462,1314,0,0,220,390,121,25,14,13,424,215,48,65,47,61,90,24,60,13,26,12082,34,739,12855,20045,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,160,162,1066,1135,933,2454,1661,10661,17013,1302,1022,897,335,295,157,26,10,16,261,629,54,65,40,127,206,17,120,9,25,40536,73,1792,42401,74740,
18,NAYARIT,16,TECUALA,50,62,62,1152,4001,622,1693,649,877,5892,150,0,0,1801,315,416,53,16,32,187,283,14,40,15,55,119,12,47,1,18,18460,1,697,19158,29342,
18,NAYARIT,17,TEPIC,311,606,615,17478,14184,2888,11287,6463,30135,58346,12465,0,0,8582,2071,2201,379,86,42,1123,3367,130,167,157,434,1103,98,645,24,78,173933,165,5964,180062,328636,
18,NAYARIT,18,TUXPAN,34,50,50,557,891,265,1604,405,1034,4992,0,835,583,3095,155,105,10,3,5,66,203,18,16,8,30,87,4,39,2,5,15017,2,663,15682,23767,
18,NAYARIT,19,XALISCO,25,81,83,4564,1404,408,4872,725,3418,7958,1024,0,0,511,96,449,72,29,7,0,0,0,0,0,0,0,0,0,0,0,25537,16,1310,26863,48178,
18,NAYARIT,20,LA YESCA,11,21,21,683,211,32,311,205,1424,1915,94,0,0,27,63,46,18,3,0,44,64,2,9,4,18,28,5,19,1,3,5229,20,403,5652,8595,
