CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,2,BAJA CALIFORNIA,2,MEXICALI,2,MEXICALI,0,A,1,0,VA01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,Acta Casilla,,,
1,2,BAJA CALIFORNIA,3,MEXICALI,2,MEXICALI,0,A,2,0,VA02,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,Acta Casilla,,,
1,2,BAJA CALIFORNIA,3,MEXICALI,2,MEXICALI,0,A,3,0,VA03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,3,Acta Casilla,,,
1,2,BAJA CALIFORNIA,4,MEXICALI,2,MEXICALI,0,A,4,0,VA04,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,4,Acta Casilla,,,
1,2,BAJA CALIFORNIA,5,MEXICALI,2,MEXICALI,0,A,5,0,VA05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,5,MEXICALI,7,SAN FELIPE,0,A,6,0,VA06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,6,TECATE,3,TECATE,0,A,7,0,VA07,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,3,Acta Casilla,,,
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,0,A,8,0,VA08,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,3,3,Acta Casilla,,,
1,2,BAJA CALIFORNIA,8,TIJUANA,4,TIJUANA,0,A,9,0,VA09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Acta Casilla,,,
1,2,BAJA CALIFORNIA,9,TIJUANA,4,TIJUANA,0,A,10,0,VA10,0,1,0,0,0,2,1,5,0,0,0,0,0,0,0,9,0,0,9,9,Acta Casilla,,,
1,2,BAJA CALIFORNIA,10,TIJUANA,4,TIJUANA,0,A,11,0,VA11,0,6,2,0,2,2,1,4,0,0,0,0,0,0,0,17,0,0,17,17,Acta Casilla,,,
1,2,BAJA CALIFORNIA,10,TIJUANA,4,TIJUANA,0,A,12,0,VA12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,0,A,13,0,VA13,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,7,0,0,7,7,Acta Casilla,,,
1,2,BAJA CALIFORNIA,12,TIJUANA,4,TIJUANA,0,A,14,0,VA14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,12,TIJUANA,4,TIJUANA,0,A,15,0,VA15,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,4,4,Acta Casilla,,,
1,2,BAJA CALIFORNIA,13,TIJUANA,4,TIJUANA,0,A,16,0,VA16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,Acta Casilla,,,
1,2,BAJA CALIFORNIA,14,TIJUANA,4,TIJUANA,0,A,17,0,VA17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2,Acta Casilla,,,
1,2,BAJA CALIFORNIA,14,TIJUANA,4,TIJUANA,0,A,18,0,VA18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,0,A,19,0,VA19,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,4,4,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,0,A,20,0,VA20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,5,PLAYAS DE ROSARITO,0,A,21,0,VA21,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,4,4,Acta Casilla,,,
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,0,A,22,0,VA22,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,6,0,1,7,7,Acta Casilla,,,
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,0,A,23,0,VA23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta Casilla,,,
1,2,BAJA CALIFORNIA,17,ENSENADA,1,ENSENADA,0,A,24,0,VA24,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,3,Acta Casilla,,,
1,2,BAJA CALIFORNIA,17,ENSENADA,6,SAN QUINTIN,0,A,25,0,VA25,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,4,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,B,1,0,B,0,0,28,3,5,11,27,76,43,19,0,0,0,0,0,212,0,5,217,600,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,C,1,0,C01,0,0,23,7,4,7,32,67,46,27,0,0,0,0,0,213,0,14,227,600,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,C,2,0,C02,0,0,31,8,9,10,35,80,42,23,0,0,0,0,0,238,0,13,251,600,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,C,3,0,C03,0,0,9,3,4,9,44,70,45,28,0,0,0,0,0,212,2,6,220,600,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,S,1,0,S01,0,0,0,0,0,4,2,5,3,2,0,0,0,0,0,16,0,0,16,0,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,2,B,1,0,B,0,0,9,0,0,1,5,11,6,0,0,0,0,0,0,32,0,2,34,524,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,2,C,1,0,C01,0,0,17,2,5,6,23,52,20,11,0,0,0,0,0,136,0,11,147,524,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,2,C,2,0,C02,0,0,14,2,1,2,18,34,15,12,0,0,0,0,0,98,1,3,102,524,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,3,B,1,0,B,0,0,9,2,5,62,17,124,29,11,0,0,0,0,0,259,2,16,277,660,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,3,C,1,0,C01,0,0,14,4,11,63,12,120,24,13,0,0,0,0,0,261,2,17,280,660,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,3,C,2,0,C02,0,0,8,2,8,62,19,139,26,13,0,0,0,0,0,277,3,19,299,659,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,4,B,1,0,B,0,0,5,4,4,52,17,137,18,15,0,0,0,0,0,252,2,23,277,646,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,4,C,1,0,C01,0,0,6,7,9,46,10,147,19,13,0,0,0,0,0,257,0,1,258,646,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,4,C,2,0,C02,0,0,9,2,10,68,21,134,29,7,0,0,0,0,0,280,0,27,307,645,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,5,B,1,0,B,0,0,14,5,3,19,22,94,27,31,0,0,0,0,0,215,1,22,238,528,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,6,B,1,0,B,0,0,7,7,5,64,19,120,24,14,0,0,0,0,0,260,1,17,278,555,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,6,C,1,0,C01,0,0,4,2,7,40,8,99,23,8,0,0,0,0,0,191,1,21,213,555,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,6,C,2,0,C02,0,0,8,9,6,48,15,113,24,15,0,0,0,0,0,238,0,12,250,555,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,7,B,1,0,B,0,0,5,2,16,82,15,241,19,14,0,0,0,0,0,394,2,26,422,704,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,8,B,1,0,B,0,0,4,1,10,29,20,85,48,36,0,0,0,0,0,233,6,8,247,531,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,8,C,1,0,C01,0,0,8,5,13,14,12,91,26,30,0,0,0,0,0,199,3,18,220,530,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,8,C,2,0,C02,0,0,4,3,9,23,14,105,21,34,0,0,0,0,0,213,4,10,227,530,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,9,B,1,0,B,0,0,9,3,6,71,11,92,22,12,0,0,0,0,0,226,1,16,243,586,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,9,C,1,0,C01,0,0,13,2,3,76,15,87,31,13,0,0,0,0,0,240,1,18,259,585,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,10,B,1,0,B,0,0,19,4,7,12,28,112,28,27,0,0,0,0,0,237,0,16,253,537,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,10,C,1,0,C01,0,0,7,2,7,20,20,104,39,16,0,0,0,0,0,215,0,11,226,537,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,11,B,1,0,B,0,0,17,6,11,16,35,130,58,25,0,0,0,0,0,298,0,16,314,736,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,11,C,1,0,C01,0,0,15,10,23,18,21,120,47,19,0,0,0,0,0,273,4,21,298,735,Acta Casilla,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,11,C,2,0,C02,0,0,20,3,14,21,23,134,58,28,0,0,0,0,0,301,1,18,320,735,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,11,E,1,0,E01,0,0,14,11,9,13,25,90,51,24,0,0,0,0,0,237,1,11,249,490,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,12,B,1,0,B,0,47,14,4,13,11,21,124,48,14,0,0,0,0,0,296,5,19,320,670,Grupo de recuento,,,
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,12,C,1,0,C01,0,54,10,4,8,11,31,110,44,15,0,0,0,0,0,287,0,13,300,670,Grupo de recuento,,,
